Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
1256,2pXrwBssKTp30uxbQgl6kw,St. Pete Beach,4700 Gulf Blvd,St Pete Beach,FL,33706,27.7213676,-82.740962,4.5,121,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False'}","Local Flavor, Parks, Beaches, Active Life","{'Monday': '6:0-6:0', 'Tuesday': '6:0-6:0', 'Wednesday': '6:0-6:0', 'Thursday': '6:0-6:0', 'Friday': '6:0-6:0', 'Saturday': '6:0-6:0', 'Sunday': '6:0-6:0'}"
1904,aZyCHVqXnz81fW1_KbFq0w,Saguaro National Park,3693 S Old Spanish Trl,Tucson,AZ,85730,32.180208,-110.7363,4.5,179,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'BikeParking': 'True'}","Active Life, Parks","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
2940,o3HubYII2z42Bi8kokVm3A,Magic Walking Tours,441 Royal St,New Orleans,LA,70116,29.95646,-90.06633,4.5,91,0,,"Screen Printing, Hotels & Travel, Walking Tours, Landmarks & Historical Buildings, Tours, Local Services, Guest Houses, Education, Local Flavor, Public Services & Government, Printing Services, Historical Tours, Educational Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
4055,hk1KO4rAxGDgwlNSAO54yA,Ballast Point Park,5300 Interbay Blvd,Tampa,FL,33611,27.8890053,-82.4812618,4.5,74,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False'}","Active Life, Playgrounds, Parks, Fishing","{'Monday': '6:0-18:0', 'Tuesday': '6:0-18:0', 'Wednesday': '6:0-18:0', 'Thursday': '6:0-18:0', 'Friday': '6:0-18:0', 'Saturday': '6:0-18:0', 'Sunday': '6:0-18:0'}"
5210,EAGJF3Tisg2NRX03oGkmDA,St. Louis Cemetery No. 1,425 Basin St,New Orleans,LA,70112,29.9593636,-90.0714433,4.0,152,1,{'BusinessAcceptsCreditCards': 'False'},"Funeral Services & Cemeteries, Historical Tours, Public Services & Government, Local Services, Landmarks & Historical Buildings, Tours, Hotels & Travel","{'Monday': '9:0-15:0', 'Tuesday': '9:0-15:0', 'Wednesday': '9:0-15:0', 'Thursday': '9:0-15:0', 'Friday': '9:0-15:0', 'Saturday': '9:0-15:0', 'Sunday': '9:0-12:0'}"
5460,yip92_y6BgpQdcX486b_RQ,Sabino Canyon,5700 N Sabino Canyon Road,Tucson,AZ,85750,32.3223716887,-110.8098631558,4.5,269,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'""}","Parks, Active Life, Hiking, Local Flavor, Hotels & Travel, Tours",
5686,6JFTijOMHB46yBoyVOjPCA,Santa Barbara County Courthouse,1100 Anacapa St,Santa Barbara,CA,93101,34.4242013,-119.7023282,4.5,251,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Courthouses, Active Life, Event Planning & Services, Landmarks & Historical Buildings, Public Services & Government, Parks, Venues & Event Spaces","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '10:0-16:30', 'Sunday': '10:0-16:30'}"
5712,aqTLu2dS_dG0ZUtDUH5fvg,Lafayette Square,500 St Charles Ave,New Orleans,LA,70130,29.9483169609,-90.0703486127,4.0,53,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",
5778,9qvB4_1l81qpOHI9FHW83A,The Fly,Riverview Dr,New Orleans,LA,70118,29.9196791557,-90.1337242126,4.0,54,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Automotive, Active Life, Parks",
6754,LUXRw-mr9emGL2gw4otvVA,Benjamin Franklin Bridge,US 676,Philadelphia,PA,08102,39.9529445595,-75.1343607903,4.5,95,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Automotive, Local Flavor, Active Life, Landmarks & Historical Buildings, Public Services & Government",
